,types,complaints,Commnet,cleanmsg,topic_encoding,len_msg
117,Family Conflict,My husband is harsh towards our son and threatened me,,harsh towards son threaten,4,26
497,Social Relationships,Is there something I should do to help my friend who is in an abusive relationship?,,something help friend abusive relationship,13,42
356,Relationships,I feel like I could never be with anyone because no one would want me,,feel could never anyone want,10,28
125,Workplace issues,I'm worried about my new job,,worried new job,17,15
1122,Relationship Dissolution,It’s been three years and I STILL cry reading my divorce papers,,three year still cry reading divorce paper,9,42
1062,Parenting,How do I help my 5 year old from horrible tantrums caused by a bully at school?,,help year old horrible tantrum cause bully school,8,49
270,Behavioral Change,I have had a compulsive swallowing tic for the past 9 monthsâ€”how can I get rid of it?,,compulsive swallow tic past monthsâ€ rid,1,40
62,Self-esteem,How can I stop myself from making poor choices and hurting the one I love?,,stop make poor choice hurt love,11,31
896,Behavioral Change,Why do I have dramatic mood swings?,,dramatic mood swing,1,19
855,Relationships,I cheated on my husband with one of his good friends a few years ago,,cheat good friend year ago,10,26
1016,Workplace issues,"I'm a teenager, and I just got my first job. I am a month and a half in. Yesterday, my boss pushed me to the point where I had to go to the restroom and cry. She didn't see me, and I'm glad, but when I went to talk to her about it today, I let a tear or two come out. I hate it. I feel like they're not going to keep me anymore.",,teenager get first job month half yesterday bos push point restroom cry see glad talk today tear come hate feel 're keep anymore,17,128
648,Relationships,My boyfriend says he doesn't like to do things with me because we fight too much,,boyfriend say thing fight much,10,30
181,Parenting,How do I tell one parent I want to live with the other one?,,tell parent want live,8,21
639,Stress/Anxiety,What can I do if I need to talk to someone but I have no money?,,need talk someone money,14,23
1002,Social Relationships,I'm having problems shutting them out and putting up walls.,,problem shut put wall,13,21
94,Marriage,How can I help my husband after a suicide attempt?,,help suicide attempt,7,20
312,Parenting,My parents aren't letting my boyfriend and I talk or see each other while I'm pregnant,,parent let boyfriend talk see pregnant,8,38
240,Relationships,I feel like my relationship is falling apart,,feel relationship fall apart,10,28
286,Social Relationships,How do I learn to let go of past problems and live one day at a time?,,learn past problem live day time,13,32
1042,Parenting,I don't know how to communicate with my adult daughter,,communicate adult daughter,8,26
144,Relationships,I can't leave my negative environment without leaving behind my fiancÃ©,,leave negative environment without leave behind fiancã©,10,55
1001,Social Relationships,It's really hard to not have negative feelings about friends who don't put any effort into nourishing our relationship.,,really hard negative feeling friend put effort nourish relationship,13,67
1197,Anger Management,Any help with anger with aunt,,help anger aunt,0,15
427,Depression,How do I get rid of depression?,,rid depression,3,14
845,Relationships,How do I get my girlfriend back?,,girlfriend back,10,15
919,Depression,How can I get over my depression ?,,depression,3,10
201,Family Conflict,"Should I talk honestly to my brother about his girlfriend, risking our own relationship?",,talk honestly brother girlfriend risk relationship,4,50
473,Workplace issues,"I'm in high school, and I want to be a psychologist",,high school want psychologist,17,29
670,Trauma/Grief/Loss,I just lost my grandpa,,lose grandpa,16,12
634,Intimacy,Is it normal to be more sensitive when I'm not intimate with my boyfriend?,,normal sensitive intimate boyfriend,5,35
773,Stress/Anxiety,How do I overcome my fear of eating in public?,,overcome fear eat public,14,24
441,Family Conflict,How do I get my dad to understand that I don't want him to date or marry my best friend?,,dad understand want date marry best friend,4,42
